text_clean,category
проблема с 1с после обновления,software
sap не запускается,software
jenkins выдает ошибку при сборке,software
не работает power bi после установки,software
tableau не подключается к базе,software
ошибка в lms при загрузке курса,software
ci cd pipeline упал,software
runner не отвечает в jenkins,software
1с бухгалтерия зависает,software
sap hana не стартует,software
обновление 1с не установилось,software
конфигурация 1с слетела,software
не могу зайти в 1с,software
sap вылетает при открытии отчета,software
jenkins не видит агенты,software
программа 1с не отвечает,software
erp система не загружается,software
crm не сохраняет данные,software
софт зуп выдает ошибку,software
приложение power bi зависло,software
не могу войти пароль неверный,access
нужен доступ к папке,access
требуются права на сетевой диск,access
настроить mfa двухфакторную аутентификацию,access
выдать доступ к системе,access
проблема с авторизацией,access
аккаунт заблокирован,access
не подходит пароль от системы,access
нужны права администратора,access
доступ закрыт к базе данных,access
восстановить пароль,access
сбросить mfa,access
повторно активировать учетную запись,access
логин не проходит,access
требуется вход в систему,access
заблокирована учетная запись,access
не могу авторизоваться,access
нужен доступ к сетевому диску,access
прав не хватает для работы,access
пароль не принимается,access
ошибка подключения к серверу,errors
error 404 при загрузке страницы,errors
система не отвечает,errors
сбой в работе модуля,errors
не работает функция экспорта,errors
ошибка сохранения данных,errors
не формируется отчет,errors
выдает ошибку при входе,errors
не могу открыть файл,errors
программа зависает,errors
exception при обработке данных,errors
fail при загрузке модуля,errors
вылетает программа,errors
не запускается приложение,errors
не открывается документ,errors
прошу оформить заявку на доступ,requests
нужно добавить пользователя,requests
требуется выдать права,requests
прошу создать учетную запись,requests
необходимо оформить отпуск,requests
прошу помочь с настройкой,requests
нужна помощь срочно,requests
требуется добавить в группу,requests
прошу выдать доступ к системе,requests
оформите заявку на командировку,requests
необходимо создать заявку,requests
прошу оформить документы,requests
требуется помощь специалиста,requests
нужно срочно решить вопрос,requests
прошу обратиться к проблеме,requests
документ на ндс формируется неправильно,documents
проблема с печатью документов,documents
не формируется отчет по продажам,documents
документ не открывается,documents
ошибка в формировании справки,documents
шаблон документа сбился,documents
бланк не печатается,documents
документ формируется с ошибками,documents
отчет не генерируется,documents
справка выходит пустая,documents
документы не сохраняются,documents
формирование документа зависает,documents
печать документов не работает,documents
ндс в документе неверный,documents
отчет формируется долго,documents
системе требуется обновление,system
сетевой диск не подключается,system
логи показывают ошибки,system
сервер не отвечает,system
база данных недоступна,system
система работает медленно,system
сетевая папка не открывается,system
сервер упал,system
бд не запускается,system
хранилище переполнено,system
запрос на период с 10 по 15 число,time_period
нужен доступ до 16 октября,time_period
отпуск с 01 по 12 ноября,time_period
после 15 числа проблема исчезла,time_period
до 20 числа нужно решить,time_period
срок до 30 числа,time_period
период с 01 по 05,time_period
дата 12 ноября,time_period
приложил файл с деталями,miscellaneous
по заявке нет ответа,miscellaneous
все работает спасибо,miscellaneous
отпуск согласован,miscellaneous
благодарю за помощь,miscellaneous
приложен документ,miscellaneous
всё в порядке,miscellaneous
проходит нормально,miscellaneous
